Order ID,Order Total,Order Subtotal,Order Currency,Order Subtotal Excl. Tax,Shipping Incl. Tax,Shipping Excl. Tax,Payment Gateway ID,Payment Gateway,Shipping Method ID
24050,"459,08","240,79",BRL,"459,08",218.29,"218,29",|asaas-ticket,Boleto Bancario,correios-sedex
24051,"253,58","167,99",BRL,"253,58",85.59,"85,59",asaas-ticket,Boleto Bancario,correios-sedex
24052,"90,3","24,9",BRL,"90,3",65.4,"65,4",asaas-ticket,Boleto Bancario,correios-sedex
24053,"115,2","47,9",BRL,"115,2",67.3,"67,3",asaas-ticket,Boleto Bancario,correios-sedex
24054,"423,6","423,6",BRL,"423,6",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24055,"294,1","294,1",BRL,"294,1",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24056,"100,5","100,5",BRL,"100,5",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24057,29,29,BRL,29,0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24064,"36,39","23,9",BRL,"36,39",12.49,"12,49",pagseguro,Cartao de Credito,correios-sedex
24065,"283,51","163,28",BRL,"283,51",120.23,"120,23",pagseguro,Cartao de Credito,correios-sedex
24068,"221,97","133,28",BRL,"221,97",88.69,"88,69",pagseguro,Cartao de Credito,correios-sedex
24069,"61,54",30,BRL,"61,54",31.54,"31,54",pagseguro,Cartao de Credito,correios-pac
24071,"157,44",90,BRL,"157,44",67.44,"67,44",asaas-ticket,Boleto Bancario,correios-sedex
24074,"152,22","119,9",BRL,"152,22",32.32,"32,32",pagseguro,Cartao de Credito,correios-sedex
24077,"149,9","149,9",BRL,"149,9",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24088,"287,93","245,7",BRL,"287,93",42.23,"42,23",asaas-ticket,Boleto Bancario,correios-sedex
24110,"340,67","305,64",BRL,"340,67",35.03,"35,03",pagseguro,Cartao de Credito,correios-sedex
24111,"61,14",50,BRL,"61,14",11.14,"11,14",asaas-ticket,Boleto Bancario,correios-sedex
24115,"79,34","65,97",BRL,"79,34",13.37,"13,37",asaas-ticket,Boleto Bancario,correios-sedex
24116,"65,5","53,01",BRL,"65,5",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24117,"60,37","47,88",BRL,"60,37",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24120,"84,9","84,9",BRL,"84,9",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24121,"83,37",70,BRL,"83,37",13.37,"13,37",asaas-ticket,Boleto Bancario,correios-sedex
24132,"42,49",30,BRL,"42,49",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24136,"426,04","273,01",BRL,"426,04",153.03,"153,03",asaas-ticket,Boleto Bancario,correios-sedex
24137,"237,44",170,BRL,"237,44",67.44,"67,44",asaas-ticket,Boleto Bancario,correios-sedex
24138,"188,6","103,01",BRL,"188,6",85.59,"85,59",asaas-ticket,Boleto Bancario,correios-sedex
24139,165,165,BRL,165,0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24144,"48,49",36,BRL,"48,49",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24145,"125,92",72,BRL,"125,92",53.92,"53,92",asaas-ticket,Boleto Bancario,correios-sedex
24147,"177,17","135,2",BRL,"177,17",41.97,"41,97",asaas-ticket,Boleto Bancario,correios-sedex
24148,"64,25","41,2",BRL,"64,25",23.05,"23,05",asaas-ticket,Boleto Bancario,correios-sedex
24149,"112,92",94,BRL,"112,92",18.92,"18,92",asaas-ticket,Boleto Bancario,correios-pac
24154,"141,88","116,9",BRL,"141,88",24.98,"24,98",asaas-ticket,Boleto Bancario,correios-sedex
24155,"70,49",58,BRL,"70,49",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
