data;valor_gasto_facebook;variacao_vertical_1;impressoes;variacao_vertical_2;cpm;cliques_de_saida_fb;variacao_vertical_3;ctr;visualizacao_de_pagina_destino_fb;variacao_vertical_4;%_visualizacao_pagina_destino;adicao_ao_carrinho_fb;variacao_vertical_5;checkout_fb;variacao_vertical_6;numero_de_compras_fb;variacao_vertical_7;%checkout/visualizacao;%compra/visualizacao;%_compra/checkout;vendas_totais_fb;variacao_vertical_8;roi_marketing
2019-10-30;9;0;1.124;0;8;18;0;0,02;17;0;0,94;;0;;0;;0;0,00;0,00;0,00;;0;0,00
2019-10-31;15;0,69;1.674;0,49;9;31;0,72;0,02;29;0,71;0,94;4;0;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-01;14;-0,04;1.547;-0,08;9;30;-0,03;0,02;27;-0,07;0,90;4;0,00;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-02;10;-0,27;1.462;-0,05;7;22;-0,27;0,02;21;-0,22;0,95;1;-0,75;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-03;49;3,71;6.942;3,75;7;98;3,45;0,01;67;2,19;0,68;2;1,00;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-04;50;0,03;5.275;-0,24;10;96;-0,02;0,02;84;0,25;0,88;5;1,50;1;0;;0;0,01;0,00;0,00;;0;0,00
2019-11-05;53;0,05;5.927;0,12;9;166;0,73;0,03;118;0,40;0,71;14;1,80;6;5,00;3;0;0,05;0,03;0,50;318;0;6,02
2019-11-06;51;-0,04;5.78;-0,02;9;170;0,02;0,03;104;-0,12;0,61;;-1,00;;-1,00;;-1,00;0,00;0,00;0,00;;-1,00;0,00
2019-11-07;50;0,00;4.823;-0,17;10;107;-0,37;0,02;79;-0,24;0,74;46;0;24;0;5;0;0,30;0,06;0,21;1.804;0;35,79
2019-11-08;60;0,18;12.894;1,67;5;187;0,75;0,01;94;0,19;0,50;1;-0,98;;-1,00;;-1,00;0,00;0,00;0,00;;-1,00;0,00
2019-11-09;89;0,49;11.403;-0,12;8;362;0,94;0,03;208;1,21;0,57;3;2,00;1;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-10;100;0,13;16.01;0,40;6;487;0,35;0,03;258;0,24;0,53;;-1,00;;-1,00;;0;0,00;0,00;0,00;;0;0,00
2019-11-11;97;-0,03;17.5;0,09;6;416;-0,15;0,02;201;-0,22;0,48;1;0;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-12;99;0,02;15.54;-0,11;6;376;-0,10;0,02;226;0,12;0,60;4;3,00;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-13;99;-0,01;13.307;-0,14;7;297;-0,21;0,02;164;-0,27;0,55;3;-0,25;1;0;1;0;0,01;0,01;1,00;48;0;0,49
2019-11-14;99;0,00;13.907;0,05;7;260;-0,12;0,02;94;-0,43;0,36;1;-0,67;;-1,00;;-1,00;0,00;0,00;0,00;;-1,00;0,00
2019-11-15;103;0,04;13.029;-0,06;8;315;0,21;0,02;170;0,81;0,54;1;0,00;1;0;;0;0,01;0,00;0,00;;0;0,00
2019-11-16;103;0,00;13.516;0,04;8;309;-0,02;0,02;146;-0,14;0,47;;-1,00;;-1,00;;0;0,00;0,00;0,00;;0;0,00
2019-11-17;100;-0,02;14.707;0,09;7;327;0,06;0,02;143;-0,02;0,44;1;0;1;0;1;0;0,01;0,01;1,00;121;0;1,20
2019-11-18;98;-0,02;14.698;0,00;7;328;0,00;0,02;137;-0,04;0,42;1;0,00;;-1,00;;-1,00;0,00;0,00;0,00;;-1,00;0,00
2019-11-19;98;0,00;15.041;0,02;7;283;-0,14;0,02;137;0,00;0,48;;-1,00;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-20;101;0,03;15.74;0,05;6;298;0,05;0,02;155;0,13;0,52;;0;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-21;101;0,00;14.468;-0,08;7;298;0,00;0,02;143;-0,08;0,48;;0;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-22;93;-0,08;12.664;-0,12;7;182;-0,39;0,01;83;-0,42;0,46;1;0;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-23;107;0,15;21.091;0,67;5;63;-0,65;0,00;27;-0,67;0,43;1;0,00;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-24;97;-0,10;24.938;0,18;4;84;0,33;0,00;;-1,00;0,00;;-1,00;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-25;77;-0,20;30.443;0,22;3;66;-0,21;0,00;;0;0,00;;0;;0;;0;0,00;0,00;0,00;;0;0,00
2019-11-26;96;0,24;8.943;-0,71;11;153;1,32;0,02;2;0;0,01;3;0;1;0;;0;0,50;0,00;0,00;;0;0,00
2019-11-27;104;0,08;9.363;0,05;11;122;-0,20;0,01;18;8,00;0,15;7;1,33;4;3,00;1;0;0,22;0,06;0,25;85;0;0,82
2019-11-28;100;-0,04;6.743;-0,28;15;74;-0,39;0,01;13;-0,28;0,18;2;-0,71;4;0,00;;-1,00;0,31;0,00;0,00;;-1,00;0,00
2019-11-29;100;0,00;4.084;-0,39;24;55;-0,26;0,01;3;-0,77;0,05;4;1,00;;-1,00;;0;0,00;0,00;0,00;;0;0,00
2019-11-30;109;0,09;5.429;0,33;20;48;-0,13;0,01;5;0,67;0,10;4;0,00;4;0;;0;0,80;0,00;0,00;;0;0,00
2019-12-01;101;-0,07;8.055;0,48;12;105;1,19;0,01;15;2,00;0,14;12;2,00;6;0,50;;0;0,40;0,00;0,00;;0;0,00
2019-12-02;100;0,00;8.189;0,02;12;110;0,05;0,01;33;1,20;0,30;13;0,08;6;0,00;2;0;0,18;0,06;0,33;108;0;1,07
2019-12-03;99;-0,02;8.53;0,04;12;109;-0,01;0,01;70;1,12;0,64;13;0,00;5;-0,17;;-1,00;0,07;0,00;0,00;;-1,00;0,00
2019-12-04;97;-0,02;8.095;-0,05;12;115;0,06;0,01;95;0,36;0,83;3;-0,77;4;-0,20;;0;0,04;0,00;0,00;;0;0,00
